id_incident,date,description,priorité
INC00000001,2024-08-23,Le service informatique rencontrent une situation de panne critique sur le logiciel DBS.,Moyenne
INC00000002,2021-03-04,Le service informatique rencontrent une situation de difficultés de connexion sur le logiciel SERVICENOW. Cela engendre une perturbation des services métiers.,Très faible
INC00000003,2022-11-05,Le service informatique rencontrent une situation de dysfonctionnement mineur sur le logiciel DBS. Cela engendre une perturbation des services métiers.,Faible
INC00000004,2024-04-11,Le siège rencontrent une situation de bug visuel sur le logiciel SAB.,Moyenne
INC00000005,2022-12-01,Un seul utilisateur rencontrent une situation de latence sur le logiciel RAPT.,Faible
INC00000006,2022-10-20,Le siège rencontrent une situation de attaque sur le logiciel DOCUBASE.,Élevée
INC00000007,2024-07-21,Le service informatique rencontrent une situation de panne critique sur le logiciel CFT. Cela engendre une perturbation des services métiers.,Moyenne
INC00000008,2021-08-04,Un seul utilisateur rencontrent une situation de latence sur le logiciel ERM-X.,Très faible
INC00000009,2020-04-24,Une agence régionale rencontrent une situation de difficultés de connexion sur le logiciel RAPT.,Très faible
INC00000010,2023-07-01,Un seul utilisateur rencontrent une situation de bug visuel sur le logiciel DOCUBASE. Cela engendre une perturbation des services métiers.,Faible
INC00000011,2022-10-06,Le siège rencontrent une situation de latence sur le logiciel RAPT.,Moyenne
INC00000012,2021-02-14,Une agence régionale rencontrent une situation de dysfonctionnement mineur sur le logiciel SAB. Cela engendre une perturbation des services métiers.,Faible
INC00000013,2023-08-08,Le siège rencontrent une situation de indisponibilité totale sur le logiciel ERM-X.,Critique
INC00000014,2020-05-04,Plusieurs agences rencontrent une situation de intrusion sur le logiciel DBS.,Critique
INC00000015,2024-05-25,Plusieurs agences rencontrent une situation de latence sur le logiciel GPI. Cela engendre une perturbation des services métiers.,Moyenne
INC00000016,2024-01-30,Une agence régionale rencontrent une situation de difficultés de connexion sur le logiciel CRM-X.,Faible
INC00000017,2023-02-12,Tous les utilisateurs rencontrent une situation de attaque sur le logiciel DOCUBASE.,Critique
INC00000018,2022-08-13,Tous les utilisateurs rencontrent une situation de attaque sur le logiciel DBS. Cela engendre une perturbation des services métiers.,Élevée
INC00000019,2021-01-13,Le service informatique rencontrent une situation de panne critique sur le logiciel SERVICENOW.,Moyenne
INC00000020,2023-11-01,Une agence régionale rencontrent une situation de erreur mineure sur le logiciel DBS. Cela engendre une perturbation des services métiers.,Faible
INC00000021,2023-06-02,Le siège rencontrent une situation de latence sur le logiciel SBS. Cela engendre une perturbation des services métiers.,Moyenne
INC00000022,2021-12-23,Le siège rencontrent une situation de intrusion sur le logiciel SERVICEITECH.,Critique
INC00000023,2023-08-22,Le service informatique rencontrent une situation de difficultés de connexion sur le logiciel GPI.,Faible
INC00000024,2021-08-14,Une agence régionale rencontrent une situation de panne critique sur le logiciel SERVICEITECH.,Moyenne
INC00000025,2024-09-29,Une agence régionale rencontrent une situation de difficultés de connexion sur le logiciel CFT. Cela engendre une perturbation des services métiers.,Faible
INC00000026,2024-08-14,Plusieurs agences rencontrent une situation de panne critique sur le logiciel SERVICENOW.,Critique
INC00000027,2022-07-06,Une agence régionale rencontrent une situation de panne critique sur le logiciel DBS.,Moyenne
INC00000028,2020-06-18,Le service informatique rencontrent une situation de latence sur le logiciel E-BANKING.,Faible
INC00000029,2020-04-02,Le siège rencontrent une situation de perte de données sur le logiciel AUTOSYS.,Élevée
INC00000030,2024-11-21,Tous les utilisateurs rencontrent une situation de attaque sur le logiciel RAPT. Cela engendre une perturbation des services métiers.,Critique
INC00000031,2020-04-15,Une agence régionale rencontrent une situation de latence sur le logiciel AUTOSYS. Cela engendre une perturbation des services métiers.,Faible
INC00000032,2021-03-14,Le service informatique rencontrent une situation de panne critique sur le logiciel DOCUBASE. Cela engendre une perturbation des services métiers.,Moyenne
INC00000033,2020-11-14,Un seul utilisateur rencontrent une situation de bug visuel sur le logiciel CFT.,Très faible
INC00000034,2022-01-05,Un seul utilisateur rencontrent une situation de latence sur le logiciel I-CASH.,Faible
INC00000035,2023-12-08,Un seul utilisateur rencontrent une situation de difficultés de connexion sur le logiciel CRM-X. Cela engendre une perturbation des services métiers.,Faible
INC00000036,2024-08-25,Le service informatique rencontrent une situation de panne critique sur le logiciel ERP-Paris.,Moyenne
INC00000037,2021-03-24,Le siège rencontrent une situation de crash complet sur le logiciel GPI. Cela engendre une perturbation des services métiers.,Critique
INC00000038,2022-07-06,Le siège rencontrent une situation de attaque sur le logiciel SERVICEITECH. Cela engendre une perturbation des services métiers.,Critique
INC00000039,2024-05-26,Plusieurs agences rencontrent une situation de perte de données sur le logiciel DOCUBASE.,Critique
INC00000040,2022-11-29,Le siège rencontrent une situation de perte de données sur le logiciel DOCUBASE. Cela engendre une perturbation des services métiers.,Élevée
INC00000041,2022-12-19,Tous les utilisateurs rencontrent une situation de perte de données sur le logiciel NOVAFLOW.,Critique
INC00000042,2024-08-15,Tous les utilisateurs rencontrent une situation de indisponibilité totale sur le logiciel SERVICENOW.,Critique
INC00000043,2023-12-02,Plusieurs agences rencontrent une situation de bug visuel sur le logiciel SERVICEITECH. Cela engendre une perturbation des services métiers.,Moyenne
INC00000044,2020-10-22,Le siège rencontrent une situation de intrusion sur le logiciel ERM-X. Cela engendre une perturbation des services métiers.,Critique
INC00000045,2024-11-05,Le siège rencontrent une situation de bug visuel sur le logiciel E-BANKING.,Moyenne
INC00000046,2024-08-14,Un seul utilisateur rencontrent une situation de panne critique sur le logiciel ERP-Paris.,Moyenne
INC00000047,2023-02-19,Un seul utilisateur rencontrent une situation de latence sur le logiciel SERVICENOW.,Très faible
INC00000048,2024-07-15,Le siège rencontrent une situation de intrusion sur le logiciel DBS. Cela engendre une perturbation des services métiers.,Critique
INC00000049,2022-02-07,Tous les utilisateurs rencontrent une situation de panne critique sur le logiciel SERVICENOW.,Élevée
INC00000050,2021-06-11,Tous les utilisateurs rencontrent une situation de attaque sur le logiciel CRM-X. Cela engendre une perturbation des services métiers.,Élevée
INC00000051,2021-07-08,Plusieurs agences rencontrent une situation de panne critique sur le logiciel CLICKER.,Critique
INC00000052,2022-04-28,Plusieurs agences rencontrent une situation de bug visuel sur le logiciel NOVAFLOW. Cela engendre une perturbation des services métiers.,Moyenne
INC00000053,2021-11-28,Une agence régionale rencontrent une situation de difficultés de connexion sur le logiciel ERP-Paris. Cela engendre une perturbation des services métiers.,Faible
INC00000054,2021-02-13,Un seul utilisateur rencontrent une situation de difficultés de connexion sur le logiciel SERVICEITECH. Cela engendre une perturbation des services métiers.,Très faible
INC00000055,2021-12-17,Le service informatique rencontrent une situation de latence sur le logiciel DBS.,Faible
INC00000056,2023-04-11,Plusieurs agences rencontrent une situation de latence sur le logiciel AUTOSYS. Cela engendre une perturbation des services métiers.,Moyenne
INC00000057,2020-10-01,Tous les utilisateurs rencontrent une situation de perte de données sur le logiciel I-CASH.,Critique
INC00000058,2021-06-30,Un seul utilisateur rencontrent une situation de dysfonctionnement mineur sur le logiciel SERVICENOW. Cela engendre une perturbation des services métiers.,Faible
INC00000059,2024-09-09,Tous les utilisateurs rencontrent une situation de perte de données sur le logiciel RAPT. Cela engendre une perturbation des services métiers.,Critique
INC00000060,2024-05-21,Tous les utilisateurs rencontrent une situation de bug visuel sur le logiciel SERVICEITECH.,Moyenne
INC00000061,2020-01-25,Le service informatique rencontrent une situation de panne critique sur le logiciel AUTOSYS.,Moyenne
INC00000062,2022-07-23,Un seul utilisateur rencontrent une situation de panne critique sur le logiciel RAPT. Cela engendre une perturbation des services métiers.,Moyenne
INC00000063,2024-05-11,Plusieurs agences rencontrent une situation de panne critique sur le logiciel AUTOSYS.,Critique
INC00000064,2021-05-11,Tous les utilisateurs rencontrent une situation de bug visuel sur le logiciel DBS.,Moyenne
INC00000065,2023-01-20,Le siège rencontrent une situation de latence sur le logiciel AUTOSYS.,Moyenne
INC00000066,2022-10-02,Tous les utilisateurs rencontrent une situation de indisponibilité totale sur le logiciel RAPT.,Critique
INC00000067,2021-09-03,Un seul utilisateur rencontrent une situation de panne critique sur le logiciel ERP-Paris. Cela engendre une perturbation des services métiers.,Moyenne
INC00000068,2022-05-17,Tous les utilisateurs rencontrent une situation de panne critique sur le logiciel SERVICEITECH. Cela engendre une perturbation des services métiers.,Critique
INC00000069,2023-02-10,Tous les utilisateurs rencontrent une situation de indisponibilité totale sur le logiciel SAB.,Élevée
INC00000070,2020-08-10,Le siège rencontrent une situation de attaque sur le logiciel CRM-X.,Critique
INC00000071,2023-09-02,Un seul utilisateur rencontrent une situation de difficultés de connexion sur le logiciel SERVICENOW. Cela engendre une perturbation des services métiers.,Faible
INC00000072,2024-10-12,Plusieurs agences rencontrent une situation de intrusion sur le logiciel SERVICEITECH.,Critique
INC00000073,2023-01-23,Le siège rencontrent une situation de bug visuel sur le logiciel MOBIAPP. Cela engendre une perturbation des services métiers.,Moyenne
INC00000074,2022-01-16,Tous les utilisateurs rencontrent une situation de indisponibilité totale sur le logiciel ERP-Paris.,Critique
INC00000075,2021-03-21,Une agence régionale rencontrent une situation de erreur mineure sur le logiciel MOBIAPP.,Faible
INC00000076,2021-10-12,Un seul utilisateur rencontrent une situation de panne critique sur le logiciel AUTOSYS.,Moyenne
INC00000077,2024-04-22,Tous les utilisateurs rencontrent une situation de bug visuel sur le logiciel ERP-Paris. Cela engendre une perturbation des services métiers.,Moyenne
INC00000078,2021-06-19,Le service informatique rencontrent une situation de dysfonctionnement mineur sur le logiciel GPI.,Très faible
INC00000079,2022-07-11,Plusieurs agences rencontrent une situation de indisponibilité totale sur le logiciel MOBIAPP.,Élevée
INC00000080,2020-12-03,Le siège rencontrent une situation de latence sur le logiciel CRM-X. Cela engendre une perturbation des services métiers.,Moyenne
INC00000081,2021-02-10,Un seul utilisateur rencontrent une situation de dysfonctionnement mineur sur le logiciel SERVICENOW. Cela engendre une perturbation des services métiers.,Très faible
INC00000082,2021-06-06,Un seul utilisateur rencontrent une situation de panne critique sur le logiciel NOVAFLOW. Cela engendre une perturbation des services métiers.,Moyenne
INC00000083,2024-03-19,Une agence régionale rencontrent une situation de difficultés de connexion sur le logiciel CRM-X.,Faible
INC00000084,2024-08-16,Une agence régionale rencontrent une situation de panne critique sur le logiciel GPI. Cela engendre une perturbation des services métiers.,Moyenne
INC00000085,2024-09-01,Tous les utilisateurs rencontrent une situation de indisponibilité totale sur le logiciel E-BANKING.,Élevée
INC00000086,2022-07-13,Un seul utilisateur rencontrent une situation de bug visuel sur le logiciel NOVAFLOW.,Faible
INC00000087,2020-09-20,Un seul utilisateur rencontrent une situation de difficultés de connexion sur le logiciel MOBIAPP.,Faible
INC00000088,2021-11-05,Le service informatique rencontrent une situation de panne critique sur le logiciel DBS.,Moyenne
INC00000089,2024-05-22,Une agence régionale rencontrent une situation de difficultés de connexion sur le logiciel E-BANKING.,Faible
INC00000090,2023-10-14,Tous les utilisateurs rencontrent une situation de bug visuel sur le logiciel SBS.,Moyenne
INC00000091,2021-08-19,Un seul utilisateur rencontrent une situation de erreur mineure sur le logiciel SERVICENOW. Cela engendre une perturbation des services métiers.,Faible
INC00000092,2022-07-17,Une agence régionale rencontrent une situation de erreur mineure sur le logiciel SERVICEITECH.,Faible
INC00000093,2021-04-02,Une agence régionale rencontrent une situation de latence sur le logiciel ERP-Paris.,Faible
INC00000094,2021-08-02,Le service informatique rencontrent une situation de panne critique sur le logiciel SERVICENOW. Cela engendre une perturbation des services métiers.,Moyenne
INC00000095,2022-01-28,Plusieurs agences rencontrent une situation de attaque sur le logiciel GPI.,Critique
INC00000096,2022-07-01,Plusieurs agences rencontrent une situation de bug visuel sur le logiciel CFT. Cela engendre une perturbation des services métiers.,Moyenne
INC00000097,2022-10-28,Un seul utilisateur rencontrent une situation de dysfonctionnement mineur sur le logiciel SBS. Cela engendre une perturbation des services métiers.,Très faible
INC00000098,2020-08-05,Plusieurs agences rencontrent une situation de latence sur le logiciel CLICKER.,Moyenne
INC00000099,2021-11-05,Le siège rencontrent une situation de bug visuel sur le logiciel DBS.,Moyenne
INC00000100,2024-11-28,Le service informatique rencontrent une situation de panne critique sur le logiciel SAB.,Moyenne
INC00000101,2020-07-01,Tous les utilisateurs rencontrent une situation de crash complet sur le logiciel RAPT. Cela engendre une perturbation des services métiers.,Critique
INC00000102,2021-05-20,Le service informatique rencontrent une situation de erreur mineure sur le logiciel SERVICENOW. Cela engendre une perturbation des services métiers.,Très faible
INC00000103,2024-06-25,Le siège rencontrent une situation de attaque sur le logiciel SAB.,Critique
INC00000104,2021-02-04,Le service informatique rencontrent une situation de erreur mineure sur le logiciel I-CASH.,Très faible
INC00000105,2024-02-01,Un seul utilisateur rencontrent une situation de erreur mineure sur le logiciel E-BANKING. Cela engendre une perturbation des services métiers.,Faible
INC00000106,2023-08-17,Un seul utilisateur rencontrent une situation de erreur mineure sur le logiciel CFT.,Faible
INC00000107,2020-09-13,Une agence régionale rencontrent une situation de panne critique sur le logiciel SAB.,Moyenne
INC00000108,2020-05-30,Tous les utilisateurs rencontrent une situation de indisponibilité totale sur le logiciel E-BANKING.,Critique
INC00000109,2023-09-15,Le siège rencontrent une situation de panne critique sur le logiciel I-CASH. Cela engendre une perturbation des services métiers.,Élevée
INC00000110,2021-04-30,Un seul utilisateur rencontrent une situation de panne critique sur le logiciel SERVICENOW. Cela engendre une perturbation des services métiers.,Moyenne
INC00000111,2023-01-06,Le service informatique rencontrent une situation de dysfonctionnement mineur sur le logiciel SBS. Cela engendre une perturbation des services métiers.,Très faible
INC00000112,2020-05-16,Le service informatique rencontrent une situation de bug visuel sur le logiciel DBS.,Faible
INC00000113,2022-08-08,Un seul utilisateur rencontrent une situation de latence sur le logiciel CLICKER.,Faible
INC00000114,2023-11-28,Tous les utilisateurs rencontrent une situation de indisponibilité totale sur le logiciel SERVICENOW.,Critique
INC00000115,2023-01-16,Tous les utilisateurs rencontrent une situation de crash complet sur le logiciel DBS.,Élevée
INC00000116,2024-12-05,Un seul utilisateur rencontrent une situation de latence sur le logiciel RAPT. Cela engendre une perturbation des services métiers.,Faible
INC00000117,2021-03-13,Le service informatique rencontrent une situation de difficultés de connexion sur le logiciel DOCUBASE. Cela engendre une perturbation des services métiers.,Faible
INC00000118,2020-07-21,Le service informatique rencontrent une situation de bug visuel sur le logiciel ERM-X.,Très faible
INC00000119,2022-02-02,Tous les utilisateurs rencontrent une situation de bug visuel sur le logiciel CRM-X. Cela engendre une perturbation des services métiers.,Moyenne
INC00000120,2020-01-04,Une agence régionale rencontrent une situation de latence sur le logiciel ERP-Paris. Cela engendre une perturbation des services métiers.,Très faible
