ID,Date,Description,Priorité
INC00000522,2021-12-24,Transfert mail vers BMCI BACK OFFICE MONÉTIQUE,BAS
INC00000738,2019-08-08,Extraction des gratuites package suspendue,BAS
INC00000741,2024-10-03,Incident SAB : dossier non chargé dans Process Center,BAS
INC00000661,2019-07-09,Rejets comptables sur export SAP,BAS
INC00000412,2023-02-23,Indisponibilité temporaire du système IRIS,MODÉRÉE
INC00000679,2018-11-04,Transfert mail vers BMCI BACK OFFICE MONÉTIQUE,BAS
INC00000627,2020-01-25,Erreur McAfee sur VM critique,BAS
INC00000514,2018-10-02,Incident SAB : dossier non chargé dans Process Center,BAS
INC00000860,2022-08-30,Demande d'information sur process core prod,BAS
INC00000137,2023-07-10,Transfert mail vers BMCI BACK OFFICE MONÉTIQUE,MODÉRÉE
INC00000812,2024-04-20,Incident sur SAB : signatures manquantes,BAS
INC00000077,2020-04-17,Incident SAB : dossier non chargé dans Process Center,MODÉRÉE
INC00000637,2023-05-13,Demande fichiers formules manquants,BAS
INC00000974,2022-07-05,Reprise extraction report bmsa non conforme,BAS
INC00000939,2019-10-14,OD Régul representation en attente,BAS
INC00000900,2024-12-27,Demande d'habilitation SAB refusée pour le DA Commerce,BAS
INC00000281,2019-04-04,Validation virement échouée suite à une erreur système,MODÉRÉE
INC00000884,2024-01-29,Blocage accès module Reporting,BAS
INC00000762,2025-10-18,Requête d'insertion garanties internationales,BAS
INC00000320,2018-07-25,Blocage accès module Reporting,MODÉRÉE
INC00000550,2025-11-21,Erreur application dans module des habilitations,BAS
INC00000175,2018-08-30,Spool EICED001P1 non généré,MODÉRÉE
INC00000372,2020-06-13,Extraction des gratuites package suspendue,MODÉRÉE
INC00000528,2022-08-28,Exécution d'une Requête SQL SAB des mouvements comptables,BAS
INC00000211,2024-11-28,Demande d'habilitation SAB refusée pour le DA Commerce,MODÉRÉE
INC00000236,2019-05-22,Demande de transfert mail service titre,MODÉRÉE
INC00000102,2023-07-08,Spool EICED001P1 non généré,MODÉRÉE
INC00000987,2025-08-20,Demande fichiers formules manquants,BAS
INC00000903,2022-06-07,Demande d'habilitation SAB refusée pour le DA Commerce,BAS
INC00000948,2019-03-24,Reprise extraction report bmsa non conforme,BAS
INC00000347,2024-06-26,Demande d'information sur process core prod,MODÉRÉE
INC00000140,2022-04-22,Reprise extraction report bmsa non conforme,MODÉRÉE
INC00000622,2023-03-17,Spool EICED001P1 non généré,BAS
INC00000500,2024-01-21,Incident SAB : validation des données temporaires échouée,BAS
INC00000371,2021-12-14,Blocage accès module Reporting,MODÉRÉE
INC00000199,2023-09-19,Blocage au changement de classe de sécurité,MODÉRÉE
INC00000688,2023-02-05,Extraction des gratuites package suspendue,BAS
INC00000585,2021-10-27,Suppression mouvement non autorisée sur SAB,BAS
INC00000902,2019-04-25,Demande de transfert mail service titre,BAS
INC00000060,2020-04-03,OD Régul representation en attente,MODÉRÉE
INC00000329,2023-07-03,Absence de la tâche 'validation multiple' dans SAB,MODÉRÉE
INC00000097,2025-04-19,Erreur application dans module des habilitations,MODÉRÉE
INC00000313,2018-05-22,Reprise extraction report bmsa non conforme,MODÉRÉE
INC00000975,2023-09-28,Extraction des gratuites package suspendue,BAS
INC00000300,2022-07-04,Transfert mail vers BMCI BACK OFFICE MONÉTIQUE,MODÉRÉE
INC00000278,2019-09-10,Profil collateral non affecté à utilisateur,MODÉRÉE
INC00000925,2021-04-05,Absence de la tâche 'validation multiple' dans SAB,BAS
INC00000602,2025-12-22,Exécution d'une Requête SQL SAB des mouvements comptables,BAS
INC00000440,2020-07-20,Transfert demande d'habilitation DA provisoire,MODÉRÉE
INC00000838,2023-09-27,Erreur McAfee sur VM critique,BAS
INC00000571,2020-11-01,Incident sur SAB : transfert tâche bloqué,BAS
INC00000880,2021-03-02,Exécution d'une Requête SQL SAB des mouvements comptables,BAS
INC00000262,2018-03-24,OD Régul representation en attente,MODÉRÉE
INC00000579,2018-09-26,Blocage accès SAB - authentification refusée,BAS
INC00000024,2021-03-30,Incident sur SAB : transfert tâche bloqué,TRÈS BAS
INC00000031,2019-05-11,Indisponibilité temporaire du système IRIS,TRÈS BAS
INC00000618,2018-06-25,Erreur application dans module des habilitations,BAS
INC00000011,2020-11-24,Blocage accès SAB - authentification refusée,TRÈS BAS
INC00000222,2018-06-20,Demande d'habilitation SAB refusée pour le DA Commerce,MODÉRÉE
INC00000821,2025-01-02,Incident SAB : dossier non chargé dans Process Center,BAS
INC00000297,2024-04-19,Demande de transfert mail service titre,MODÉRÉE
INC00000055,2022-05-06,Blocage accès module Reporting,TRÈS BAS
INC00000543,2020-06-05,Incident SAB : dossier non chargé dans Process Center,BAS
INC00000210,2022-04-14,Spool EICED001P1 non généré,MODÉRÉE
INC00000605,2018-03-29,Spool EICED001P1 non généré,BAS
INC00000693,2023-07-23,Indisponibilité temporaire du système IRIS,BAS
INC00000663,2021-05-27,Requête d'insertion garanties internationales,BAS
INC00000867,2022-06-10,Demande d'information sur process core prod,BAS
INC00000071,2024-09-11,OD Régul representation en attente,MODÉRÉE
INC00000544,2020-11-30,Incident SAB : dossier non chargé dans Process Center,BAS
INC00000108,2024-07-11,Requête d'insertion garanties internationales,MODÉRÉE
INC00000494,2019-11-15,Blocage lors de validation du virement,BAS
INC00000591,2024-05-23,Transfert demande d'habilitation DA provisoire,BAS
INC00000742,2024-11-05,Demande d'information sur process core prod,BAS
INC00000293,2021-09-02,Transfert mail vers BMCI BACK OFFICE MONÉTIQUE,MODÉRÉE
INC00000290,2019-07-29,Incident SAB : validation des données temporaires échouée,MODÉRÉE
INC00000653,2023-10-02,Exécution d'une Requête SQL SAB des mouvements comptables,BAS
INC00000040,2024-08-24,Demande de transfert mail service titre,TRÈS BAS
INC00000590,2021-05-29,Incident sur SAB : signatures manquantes,BAS
INC00000308,2021-04-18,Profil collateral non affecté à utilisateur,MODÉRÉE
INC00000680,2022-09-13,Incident sur SAB : signatures manquantes,BAS
INC00000067,2025-12-26,Spool EICED001P1 non généré,MODÉRÉE
INC00000276,2025-09-16,Exécution d'une Requête SQL SAB des mouvements comptables,MODÉRÉE
INC00000068,2023-04-11,Profil collateral non affecté à utilisateur,MODÉRÉE
INC00000319,2022-01-26,Blocage validation mise à jour tiers,MODÉRÉE
INC00000549,2023-02-08,Blocage au changement de classe de sécurité,BAS
INC00000999,2024-08-05,Reprise extraction report bmsa non conforme,BAS
INC00000715,2020-09-05,Validation virement échouée suite à une erreur système,BAS
INC00000754,2024-01-01,Transfert mail vers BMCI BACK OFFICE MONÉTIQUE,BAS
INC00000328,2025-01-21,Demande d'habilitation SAB refusée pour le DA Commerce,MODÉRÉE
INC00000383,2025-04-14,Facturation bloquée suite à une erreur sur INSTANT PAYMENT,MODÉRÉE
INC00000452,2018-06-30,Blocage accès SAB - authentification refusée,MODÉRÉE
INC00000523,2024-08-24,OD Régul representation en attente,BAS
INC00000219,2023-05-01,Incident sur SAB : transfert tâche bloqué,MODÉRÉE
INC00000788,2023-02-12,Exécution d'une Requête SQL SAB des mouvements comptables,BAS
INC00000437,2021-07-10,Facturation bloquée suite à une erreur sur INSTANT PAYMENT,MODÉRÉE
INC00000765,2018-04-10,Transfert mail vers BMCI BACK OFFICE MONÉTIQUE,BAS
INC00000089,2024-09-28,Incident sur SAB : signatures manquantes,MODÉRÉE
INC00000064,2018-12-20,Indisponibilité temporaire du système IRIS,MODÉRÉE
INC00000827,2022-03-02,Blocage lors de validation du virement,BAS
INC00000717,2019-12-30,Blocage lors de validation du virement,BAS
INC00000352,2025-01-01,Profil collateral non affecté à utilisateur,MODÉRÉE
INC00000937,2025-10-04,Incident SAB : dossier non chargé dans Process Center,BAS
INC00000257,2019-11-21,Demande de transfert mail service titre,MODÉRÉE
INC00000636,2023-08-11,Incident SAB : validation des données temporaires échouée,BAS
INC00000645,2020-05-24,Requête d'insertion garanties internationales,BAS
INC00000555,2021-11-18,Transfert mail vers BMCI BACK OFFICE MONÉTIQUE,BAS
INC00000960,2019-09-04,Extraction des gratuites package suspendue,BAS
INC00000169,2023-02-20,Profil collateral non affecté à utilisateur,MODÉRÉE
INC00000918,2025-04-01,Blocage au changement de classe de sécurité,BAS
INC00000529,2018-10-16,Erreur McAfee sur VM critique,BAS
INC00000824,2025-04-04,Validation virement échouée suite à une erreur système,BAS
INC00000986,2025-01-23,Blocage lors de validation du virement,BAS
INC00000817,2025-02-14,Demande d'habilitation SAB refusée pour le DA Commerce,BAS
INC00000087,2020-07-09,Exécution d'une Requête SQL SAB des mouvements comptables,MODÉRÉE
INC00000433,2018-12-06,Transfert mail vers BMCI BACK OFFICE MONÉTIQUE,MODÉRÉE
INC00000185,2024-09-02,Profil collateral non affecté à utilisateur,MODÉRÉE
INC00000979,2022-02-16,Blocage au changement de classe de sécurité,BAS
INC00000535,2018-03-27,Spool EICED001P1 non généré,BAS
INC00000295,2023-06-23,Extraction des gratuites package suspendue,MODÉRÉE
INC00000893,2021-01-05,Reprise extraction report bmsa non conforme,BAS
INC00000426,2023-03-30,Rejets comptables sur export SAP,MODÉRÉE
INC00000714,2024-09-18,Blocage accès SAB - authentification refusée,BAS
INC00000261,2022-11-07,Blocage accès module Reporting,MODÉRÉE
INC00000238,2023-06-08,Transfert mail vers BMCI BACK OFFICE MONÉTIQUE,MODÉRÉE
INC00000560,2023-03-04,Spool EICED001P1 non généré,BAS
INC00000584,2019-02-28,Transfert mail vers BMCI BACK OFFICE MONÉTIQUE,BAS
INC00000446,2018-05-28,Absence de la tâche 'validation multiple' dans SAB,MODÉRÉE
INC00000868,2023-02-10,OD Régul representation en attente,BAS
INC00000801,2021-10-07,Extraction des gratuites package suspendue,BAS
INC00000600,2025-05-05,Demande fichiers formules manquants,BAS
INC00000850,2018-02-28,Demande d'information sur process core prod,BAS
INC00000266,2022-02-17,Demande de transfert mail service titre,MODÉRÉE
INC00000996,2023-10-06,Demande fichiers formules manquants,BAS
INC00000530,2020-03-17,Blocage lors de validation du virement,BAS
INC00000056,2024-11-19,Facturation bloquée suite à une erreur sur INSTANT PAYMENT,TRÈS BAS
INC00000121,2019-05-14,Validation virement échouée suite à une erreur système,MODÉRÉE
INC00000216,2019-01-23,Blocage validation mise à jour tiers,MODÉRÉE
INC00000026,2022-04-04,Blocage accès SAB - authentification refusée,TRÈS BAS
INC00000073,2025-08-25,Transfert demande d'habilitation DA provisoire,MODÉRÉE
INC00000045,2020-11-10,Suppression mouvement non autorisée sur SAB,TRÈS BAS
INC00000248,2022-08-01,Incident sur SAB : transfert tâche bloqué,MODÉRÉE
INC00000722,2021-01-31,OD Régul representation en attente,BAS
INC00000282,2023-02-16,Demande de transfert mail service titre,MODÉRÉE
INC00000894,2022-01-26,Blocage au changement de classe de sécurité,BAS
INC00000915,2019-10-19,OD Régul representation en attente,BAS
INC00000811,2019-03-21,Spool EICED001P1 non généré,BAS
INC00000245,2024-07-25,Erreur McAfee sur VM critique,MODÉRÉE
INC00000823,2018-06-13,Blocage accès SAB - authentification refusée,BAS
INC00000322,2019-01-24,Blocage accès SAB - authentification refusée,MODÉRÉE
INC00000644,2018-07-20,Absence de la tâche 'validation multiple' dans SAB,BAS
INC00000159,2020-05-30,Incident sur SAB : signatures manquantes,MODÉRÉE
INC00000978,2025-01-03,Incident SAB : dossier non chargé dans Process Center,BAS
INC00000430,2020-09-24,Absence de la tâche 'validation multiple' dans SAB,MODÉRÉE
INC00000942,2023-08-16,Absence de la tâche 'validation multiple' dans SAB,BAS
INC00000463,2021-09-26,Absence de la tâche 'validation multiple' dans SAB,MODÉRÉE
INC00000310,2024-09-19,Demande d'habilitation SAB refusée pour le DA Commerce,MODÉRÉE
INC00000698,2021-06-16,OD Régul representation en attente,BAS
INC00000061,2023-06-16,Blocage validation mise à jour tiers,MODÉRÉE
INC00000885,2023-07-25,Incident SAB : validation des données temporaires échouée,BAS
INC00000596,2019-02-25,Incident SAB : validation des données temporaires échouée,BAS
INC00000768,2023-07-08,Validation virement échouée suite à une erreur système,BAS
INC00000650,2020-10-30,Exécution d'une Requête SQL SAB des mouvements comptables,BAS
INC00000651,2022-01-28,Incident SAB : dossier non chargé dans Process Center,BAS
INC00000866,2019-06-09,Blocage validation mise à jour tiers,BAS
INC00000669,2023-02-17,Suppression mouvement non autorisée sur SAB,BAS
INC00000299,2021-03-20,Reprise extraction report bmsa non conforme,MODÉRÉE
INC00000690,2023-01-30,Facturation bloquée suite à une erreur sur INSTANT PAYMENT,BAS
INC00000315,2021-06-30,Incident SAB : validation des données temporaires échouée,MODÉRÉE
INC00000311,2022-03-30,Blocage accès module Reporting,MODÉRÉE
INC00000362,2025-02-03,Indisponibilité temporaire du système IRIS,MODÉRÉE
INC00000480,2020-04-22,Blocage accès SAB - authentification refusée,BAS
INC00000111,2021-03-26,OD Régul representation en attente,MODÉRÉE
INC00000990,2019-01-27,Blocage accès module Reporting,BAS
INC00000487,2022-11-23,Blocage accès module Reporting,BAS
INC00000364,2025-03-19,Erreur application dans module des habilitations,MODÉRÉE
INC00000255,2018-03-27,Spool EICED001P1 non généré,MODÉRÉE
INC00000260,2018-01-14,Incident sur SAB : transfert tâche bloqué,MODÉRÉE
INC00000803,2018-07-25,Requête d'insertion garanties internationales,BAS
INC00000678,2019-02-03,Extraction des gratuites package suspendue,BAS
INC00000495,2025-04-06,Rejets comptables sur export SAP,BAS
INC00000671,2021-05-21,Spool EICED001P1 non généré,BAS
INC00000378,2018-04-01,Blocage validation mise à jour tiers,MODÉRÉE
INC00000527,2019-12-06,Facturation bloquée suite à une erreur sur INSTANT PAYMENT,BAS
INC00000846,2024-08-29,Demande de transfert mail service titre,BAS
INC00000138,2021-05-31,Demande de transfert mail service titre,MODÉRÉE
INC00000356,2021-06-16,Demande de transfert mail service titre,MODÉRÉE
INC00000366,2024-05-17,Blocage accès module Reporting,MODÉRÉE
INC00000943,2024-08-26,Incident sur SAB : transfert tâche bloqué,BAS
INC00000750,2018-08-09,Blocage accès SAB - authentification refusée,BAS
INC00000949,2022-05-21,Blocage accès module Reporting,BAS
INC00000830,2020-07-06,Demande de transfert mail service titre,BAS
