ID,Date,Description,Priorite
INC00000001,2023-01-15,Blocage validation virement SWIFT - client corporate bloqué sur transfert international,CRITIQUE
INC00000002,2023-02-28,Panne générale système de paiement instantané - tous les virements instantanés échouent,CRITIQUE
INC00000003,2023-03-12,Incident SAB : échec validation multiple comptes entreprise - blocage opérations comptables,ELEVE
INC00000004,2023-04-08,Erreur synchronisation base données clients - incohérence soldes sur plusieurs agences,ELEVE
INC00000005,2023-05-22,Latence anormale système monétique - ralentissement transactions cartes bancaires,ELEVE
INC00000006,2023-06-17,Incident core banking : blocage traitement des prélèvements automatiques journaliers,ELEVE
INC00000007,2023-07-03,Dysfonctionnement module garanties internationales - validation documents bloquée,ELEVE
INC00000008,2023-08-14,Problème extraction fichiers SEPA - retard traitement virements européens,ELEVE
INC00000009,2023-09-25,Incident sur SAB : transfert tâche validation crédit immobilier,MODERE
INC00000010,2023-10-11,Demande exécution requête SQL mouvements comptables du 08/10,MODERE
INC00000011,2023-11-07,Blocage changement numéro portable client dans système CRM,MODERE
INC00000012,2023-12-19,Incident validation données temporaires - aucune donnée à modifier,MODERE
INC00000013,2024-01-06,Transfert mail demande habilitation DA agence Rabat,MODERE
INC00000014,2024-02-14,Extraction rapport BMSA - données manquantes période février,MODERE
INC00000015,2024-03-21,Rejets comptables export - format fichier non conforme,MODERE
INC00000016,2024-04-09,Incident SAB : localisation tâche révision dossier crédit,MODERE
INC00000017,2024-05-16,Validation virement BAS - demande transfert mail Casablanca,MODERE
INC00000018,2024-06-02,Problème signatures mandataire - insertion échoue partie gestion,MODERE
INC00000019,2024-07-18,Incident sur process center - tâche validation multiple absente,MODERE
INC00000020,2024-08-24,Demande information core prod - requête AT625.2,MODERE
INC00000021,2024-09-13,Blocage accès SAB changement classe sécurité utilisateur,MODERE
INC00000022,2024-10-29,Chèques non escomptés journée comptable 27/10 - traitement manuel,MODERE
INC00000023,2024-11-05,Incident dossier non chargé process center - validation en attente,MODERE
INC00000024,2024-12-12,Problème mouvements en attente - aucun mouvement à valider affiché,MODERE
INC00000025,2025-01-08,Suppression mouvement comptable - demande correction manuelle,MODERE
INC00000026,2025-02-22,Transfert tâche révision complète dossier entreprise,MODERE
INC00000027,2025-03-17,Blocage validation mise à jour données tiers - timeout système,MODERE
INC00000028,2025-04-04,Demande fichiers formules calcul intérêts - export comptabilité,MODERE
INC00000029,2025-05-11,Incident transfert tâche validation prêt personnel,MODERE
INC00000030,2023-01-28,Erreur McAfee VM S00VL9995015 - mise à jour antivirus échouée,BAS
INC00000031,2023-02-15,Re: annulation habilitation CCAC utilisateur temporaire,BAS
INC00000032,2023-03-09,Demande transfert mail service titres - traitement différé,BAS
INC00000033,2023-04-26,Affectation dossiers vers collaborateur Ghita - redistribution,BAS
INC00000034,2023-05-13,Incident transfert tâche révision - délai standard,BAS
INC00000035,2023-06-30,Demande profil collateral Mehdi - configuration accès,BAS
INC00000036,2023-07-21,Spool EICED001P1 du 19/07 - traitement batch différé,BAS
INC00000037,2023-08-08,Extraction données gratuites package - rapport mensuel,BAS
INC00000038,2023-09-14,AMB120 normaux après CAT non générés journée 12/09,BAS
INC00000039,2023-10-03,Demande accord SAB habilitation DA commerce agence Témara,BAS
INC00000040,2023-11-19,Requête insertion garanties nationales - traitement standard,BAS
INC00000041,2023-12-07,Transfert demande habilitation DA provisoire Casablanca Nord,BAS
INC00000042,2024-01-24,Incident validation données clients - vérification routine,BAS
INC00000043,2024-02-11,Demande extraction rapport mensuel activité agences,BAS
INC00000044,2024-03-28,Problème synchronisation légère base données secondaire,BAS
INC00000045,2024-04-15,Transfert mail juridiction accès - demande information,BAS
INC00000046,2024-05-01,Incident mineur SAB validation standard,BAS
INC00000047,2024-06-18,Demande création profil utilisateur stagiaire,BAS
INC00000048,2024-07-05,Extraction fichier réconciliation quotidienne,BAS
INC00000049,2024-08-22,Problème affichage écran consultation soldes - rafraîchissement,BAS
INC00000050,2024-09-09,Incident transfert document - délai traitement,BAS
INC00000051,2024-10-26,Demande modification paramètres utilisateur,BAS
INC00000052,2024-11-12,Problème impression état comptable - configuration imprimante,BAS
INC00000053,2024-12-29,Incident mineur validation signature électronique,BAS
INC00000054,2025-01-16,Demande accès temporaire module formation,BAS
INC00000055,2025-02-03,Problème connexion VPN utilisateur distant,BAS
INC00000056,2023-01-31,Demande information technique architecture serveur,TRES BAS
INC00000057,2023-02-27,Question configuration poste travail utilisateur,TRES BAS
INC00000058,2023-03-16,Demande documentation procédure sauvegarde,TRES BAS
INC00000059,2023-04-13,Information statut maintenance programmée,TRES BAS
INC00000060,2023-05-29,Question fonctionnement module consultation,TRES BAS
INC00000061,2023-06-25,Demande formation utilisation nouvelle interface,TRES BAS
INC00000062,2023-07-12,Information procédure changement mot de passe,TRES BAS
INC00000063,2023-08-28,Question compatibilité navigateur application web,TRES BAS
INC00000064,2023-09-04,Demande guide utilisateur module comptabilité,TRES BAS
INC00000065,2023-10-21,Information planification mise à jour système,TRES BAS
INC00000066,2023-11-18,Question accès historique transactions client,TRES BAS
INC00000067,2023-12-05,Demande explication fonctionnalité export données,TRES BAS
INC00000068,2024-01-12,Information critères validation automatique,TRES BAS
INC00000069,2024-02-29,Question procédure archivage documents,TRES BAS
INC00000070,2024-03-07,Demande clarification règles métier crédit,TRES BAS
INC00000071,2024-04-23,Information délais traitement standard,TRES BAS
INC00000072,2024-05-10,Question utilisation fonction recherche avancée,TRES BAS
INC00000073,2024-06-27,Demande explication calcul commissions,TRES BAS
INC00000074,2024-07-14,Information procédure escalade incidents,TRES BAS
INC00000075,2024-08-31,Question configuration alerte automatique,TRES BAS
INC00000076,2024-09-17,Demande manuel utilisateur module risque,TRES BAS
INC00000077,2024-10-04,Information horaires service support technique,TRES BAS
INC00000078,2024-11-21,Question procédure demande accès spéciaux,TRES BAS
INC00000079,2024-12-08,Demande formation module gestion portefeuille,TRES BAS
INC00000080,2025-01-25,Information politique sécurité mots de passe,TRES BAS
INC00000081,2025-02-11,Question utilisation fonction export Excel,TRES BAS
INC00000082,2025-03-30,Demande guide configuration écran personnalisé,TRES BAS
INC00000083,2025-04-17,Information procédure validation manuelle,TRES BAS
INC00000084,2025-05-04,Question accès module formation en ligne,TRES BAS
INC00000085,2025-05-21,Demande explication workflow approbation,TRES BAS
INC00000086,2023-02-08,Incident SAB : validation prêt automobile - vérification garanties,MODERE
INC00000087,2023-03-15,Problème extraction données FATCA - rapport trimestriel,MODERE
INC00000088,2023-04-22,Blocage temporaire système de compensation interbancaire,MODERE
INC00000089,2023-05-09,Incident validation dossier crédit consommation,MODERE
INC00000090,2023-06-14,Problème synchronisation agence satellite avec serveur central,MODERE
INC00000091,2023-07-29,Erreur traitement file d'attente virements programmés,MODERE
INC00000092,2023-08-05,Incident SAB : blocage validation ouverture compte professionnel,MODERE
INC00000093,2023-09-12,Problème génération relevés bancaires automatiques,MODERE
INC00000094,2023-10-18,Incident validation opérations de change manuel,MODERE
INC00000095,2023-11-25,Erreur calcul intérêts comptes épargne - correction nécessaire,MODERE
INC00000096,2023-12-02,Problème accès module gestion risque crédit,MODERE
INC00000097,2024-01-19,Incident traitement chèques de banque journée comptable,MODERE
INC00000098,2024-02-26,Blocage validation amendement crédit documentaire,MODERE
INC00000099,2024-03-05,Problème extraction données réglementaires BAM,MODERE
INC00000100,2024-04-12,Incident SAB : transfert dossier entre agences,MODERE
INC00000101,2024-05-28,Erreur validation signature numérique documents,MODERE
INC00000102,2024-06-03,Problème traitement oppositions cartes bancaires,MODERE
INC00000103,2024-07-10,Incident validation garantie hypothécaire,MODERE
INC00000104,2024-08-17,Blocage temporaire module trade finance,MODERE
INC00000105,2024-09-24,Problème génération fichier SWIFT MT940,MODERE
INC00000106,2024-10-01,Incident validation crédit revolving professionnel,MODERE
INC00000107,2024-11-08,Erreur traitement prélèvements SEPA récurrents,MODERE
INC00000108,2024-12-15,Problème accès historique transactions anciennes,MODERE
INC00000109,2025-01-22,Incident SAB : validation fusion comptes clients,MODERE
INC00000110,2025-02-28,Bloc validation amendement ligne de crédit,MODERE
INC00000111,2025-03-06,Problème extraction rapport audit interne,MODERE
INC00000112,2025-04-13,Incident traitement effets de commerce,MODERE
INC00000113,2025-05-20,Erreur validation dossier crédit immobilier social,MODERE
INC00000114,2023-01-17,Demande création utilisateur temporaire stagiaire Agadir,BAS
INC00000115,2023-02-24,Incident mineur impression bordereau remise chèques,BAS
INC00000116,2023-03-03,Problème connexion imprimante réseau agence Salé,BAS
INC00000117,2023-04-10,Demande modification droits accès consultation,BAS
INC00000118,2023-05-27,Incident transfert fichier comptabilité auxiliaire,BAS
INC00000119,2023-06-13,Problème affichage logo personnalisé écran accueil,BAS
INC00000120,2023-07-20,Demande activation module formation nouveaux employés,BAS
INC00000121,2023-08-06,Incident mineur validation code agence correspondant,BAS
INC00000122,2023-09-13,Problème synchronisation agenda électronique,BAS
INC00000123,2023-10-30,Demande installation logiciel analyse financière,BAS
INC00000124,2023-11-16,Incident création profil utilisateur consultant externe,BAS
INC00000125,2023-12-23,Problème configuration messagerie interne,BAS
INC00000126,2024-01-09,Demande accès base documentaire procédures,BAS
INC00000127,2024-02-16,Incident impression étiquettes correspondance client,BAS
INC00000128,2024-03-25,Problème synchronisation contacts téléphoniques,BAS
INC00000129,2024-04-01,Demande formation utilisation scanner documents,BAS
INC00000130,2024-05-18,Incident configuration écran veille automatique,BAS
INC00000131,2024-06-24,Problème accès module calcul simulation crédit,BAS
INC00000132,2024-07-01,Demande création raccourci bureau application,BAS
INC00000133,2024-08-08,Incident mineur validation code produit bancaire,BAS
INC00000134,2024-09-15,Problème configuration alerte email personnalisée,BAS
INC00000135,2024-10-22,Demande installation mise à jour pilote imprimante,BAS
INC00000136,2024-11-29,Incident création modèle document standard,BAS
INC00000137,2024-12-06,Problème synchronisation calendrier partagé équipe,BAS
INC00000138,2025-01-13,Demande configuration notification SMS client,BAS
INC00000139,2025-02-20,Incident mineur export données Excel personnalisé,BAS
INC00000140,2025-03-29,Problème accès module consultation taux change,BAS
INC00000141,2025-04-05,Demande formation nouvelle procédure KYC,BAS
INC00000142,2025-05-12,Incident configuration widget tableau de bord,BAS
INC00000143,2023-02-12,Question fonctionnalité recherche client par critères,TRES BAS
INC00000144,2023-03-21,Demande explication procédure clôture compte dormant,TRES BAS
INC00000145,2023-04-28,Information délai traitement demande crédit particulier,TRES BAS
INC00000146,2023-05-05,Question utilisation fonction import données externes,TRES BAS
INC00000147,2023-06-12,Demande guide utilisation module reporting réglementaire,TRES BAS
